id,title,genres,original_language,overview,popularity,production_companies,release_date,budget,revenue,runtime,status,tagline,vote_average,vote_count,credits,keywords,poster_path,backdrop_path,recommendations
32516,The Forbidden Legend: Sex & Chopsticks 2,Comedy-Drama-Romance,cn,Rich and powerful Simon Qing has been schooled in the ways of sex by his virile father but is still a virgin. That is until he meets his first love Violetta who has fun with him all over his father’s estate. Their love does not last so Simon embarks on a journey. Along the way he meets the comely nun Moon whom Simon deflowers and then marries. He then becomes enamored of Golden Lotus but she is married to dwarf Wu Da-Lang.,974.088,Universal Media Studios-Twin Co. Ltd.-My Way Film Company,2009-03-04,0.0,0.0,93.0,Released,,6.0,63.0,Wai Kin Lam-Serina Hayakawa-Kaera Uehara-Winnie Leung-Hikaru Wakana-Lee Kin-Yan-Tam Kon-Chung-Samuel Leung Cheuk-Moon-Frankie Ng,sexual humor-adult,/A1yymig7S0FTWv9cTtOwdI1cH5V.jpg,/ql4PnvKYKaMtdx9Ck4fHY2wJphT.jpg,985103-740952-599019-1011679-943822-987750-1027159-554447-267805-811948-67308-33518-1030419-754452-837925-965839-792775-798544-876792-315162-1067282
762430,Retribution,Action-Mystery-Thriller-Crime,en,When a mysterious caller puts a bomb under his car seat Matt Turner begins a high-speed chase across the city to complete a specific series of tasks. With his kids trapped in the back seat and a bomb that will explode if they get out of the car a normal commute becomes a twisted game of life or death as Matt follows the stranger's increasingly dangerous instructions in a race against time to save his family.,955.039,StudioCanal-The Picture Company-Ombra Films,2023-08-23,20000000.0,12905464.0,93.0,Released,All roads lead to the truth.,6.836,341.0,Liam Neeson-Noma Dumezweni-Lilly Aspell-Jack Champion-Arian Moayed-Embeth Davidtz-Matthew Modine-Emily Kusche-Luca Márkus-Bernhard Piesk-Michael S. Ruscheinsky-Antonije Stankovic-Christian Koerner-Gerhard Elfers-Tine Gerhäeusser-Peter Miklusz-Luc Etienne-Nedy John Cross-Daniel Grave,bomb-assassination-remake-divorce-duringcreditsstinger-phone call-berlin,/ljl70pjLIX1hx3bPyCCbxGj6WPr.jpg,/iiXliCeykkzmJ0Eg9RYJ7F2CWSz.jpg,976573-872585
842544,Transfusion,Crime-Thriller-Drama,en,Ryan Logan a former Special Forces operative is battling to cope with life after the loss of his wife.  He is thrusted into the criminal underworld to keep his only son from being taken from him.,926.142,Deeper Water Films-Madman Entertainment-Altitude Media,2023-01-05,0.0,0.0,105.0,Released,Blood is blood.,6.602,127.0,Sam Worthington-Matt Nable-Phoebe Tonkin-Edward Carmody-Susie Porter-Jeremy Lindsay Taylor-Sam Parsonson-Sam Cotton-George Houvardas-Damien Strouthos-Brad McMurray-Julian Maroun-Alex Malone-Trystan Go-Alison McGirr-Darius Williams-Mike Duncan-Gilbert Bradman-Rachel Biazzo-Ethan Puse-Christopher Stollery-Damian de Montemas-Jessica Napier-Aaron Nable,loss of loved one-criminal underworld-special forces-coping mechanisms,/bxh5xCCW9Ynfg6EZJWUkc1zqTnr.jpg,/a4I481szRmycyreQTLrRe4f4YJe.jpg,872954-342061-996727-843794-933939-897155-1052820-1072696-873095-1022266-717133-589764-736771-608236-853606-1020975-1037644-959069-934601-897839-983526
848326,Rebel Moon - Part One: A Child of Fire,Science Fiction-Action-Adventure,en,When a peaceful colony on the edge of the galaxy finds itself threatened by the armies of the tyrannical Regent Balisarius they dispatch Kora a young woman with a mysterious past to seek out warriors from neighboring planets to help them take a stand.,923.889,The Stone Quarry-Grand Electric,2023-12-15,83000000.0,0.0,134.0,Released,There are no heroes. Only rebels.,6.453,414.0,Sofia Boutella-Djimon Hounsou-Ed Skrein-Michiel Huisman-Bae Doona-Ray Fisher-Charlie Hunnam-Anthony Hopkins-Staz Nair-Fra Fee-Cleopatra Coleman-Stuart Martin-Ingvar E. Sigurðsson-Alfonso Herrera-Cary Elwes-Rhian Rees-E. Duffy-Jena Malone-Sky Yang-Charlotte Maggi-Corey Stoll-Stella Grace Fitzgerald-Greg Kriek-Brandon Auret-Ray Porter-Tony Amendola-Dominic Burgess-Derek Mears-Dustin Ceithamer-Elizabeth Martinez-Josefine Lindegaard-Melissa Hunt-Colby Lemmo-Sisse Marie-Thomas Ohrstrom-Savanna Gann-Danielle Burgio-Julian Grant-Patrick Luwis-Tomm Voss-Christine Kellogg-Darrin-Skylar Okerstrom-Lang-Caden Dragomer-Kayden Alexander Koshelev-Kingston Foster-Robbie Jarvis-Brett Robert Culbert-Max Pescherine-Matt Nolan-Adam J. Smith-Michael James Bell-Richard Cetrone-Christopher Matthew Cook-Ben Geurens-Raphael Corkhill-Kendall Wells-James William O'Halloran-Mingus Johnston-Carolyne Chen-Quinn Zheng-Giovanni Lopes-Bonnie Morgan-Rory Gibson-Napoleon Ryan-Cody Banta-Francisco Grey-Scott Subiono-Gary Nohealii-Cesalina Gracie-Isabella Brenza-Jordan Coleman-Mark Steger-Douglas Tait-Sam Bass-Charity Witt-Francis Ngannou-Steven Allen-Alexander Ward-John Orr-Daisy Davis-Simon Potter,space war-space-space opera-space adventure-action hero-alien spaceship-super hero girls-space vessel,/ui4DrH1cKk2vkHshcUcGt2lKxCm.jpg,/sRLC052ieEzkQs9dEtPMfFxYkej.jpg,
511617,Berlin Drifters,Drama,ja,"Kôichi is a Japanese man living alone in Berlin. He has no job and hardly any friends. One night Kôichi meets Ryota at a bar which is also a sex club. Ryota came to Berlin to visit a German guy whom he had ""met"" on a dating app. His high hopes for romance (and marriage?) were quickly crushed since the German was only interested in sex not even letting Ryota stay for the night. That is why Ryota ended up spending the night in the dark room of the sex club. Kôichi for some reason lets Ryota stay at his apartment. They have sex. Ryota goes out almost everyday to get laid by various local men and comes home to Kôichi's. Increasingly caught up with a strange feeling that is akin to but not quite frustration or curiosity (needless to say it is not even close to love) Kôichi gradually gives himself up to sex with Ryota.",918.173,Jürgen Brüning Filmproduktion-Habakari Cinema,2017-09-10,0.0,0.0,123.0,Released,,5.0,9.0,Lyota Majima-Kôichi Imaizumi-Mioo Satô-Michael Selvaggio-Claude Kolz-Toby Ashraf-Christian Slaughter-Lupus-Bishop Black-Florian Hagen-Wieland Speck-Jürgen Brüning-Mitsuaki Kishida-Mischka Kral-Ikkô Masuda-Jochen Werner,gay erotica,/aH0yHU915NibzznpB2Zks2c6Z9O.jpg,/8oBSFGFaHp2MtTMeuWZ2ugmx28m.jpg,
420808,Peter Pan & Wendy,Family-Fantasy-Action-Adventure,en,Wendy Darling a young girl afraid to leave her childhood home behind meets Peter Pan a boy who refuses to grow up. Alongside her brothers and a tiny fairy Tinker Bell she travels with Peter to the magical world of Neverland. There she encounters an evil pirate captain Captain Hook and embarks on a thrilling adventure that will change her life forever.,906.107,Walt Disney Pictures-Whitaker Entertainment,2023-04-20,0.0,0.0,106.0,Released,Escape to Neverland.,5.826,367.0,Alexander Molony-Ever Anderson-Jude Law-Alyssa Wapanatâhk-Jim Gaffigan-Joshua Blue Pickering-Jacobi Jupe-Molly Parker-Alan Tudyk-Yara Shahidi-Florence Bensberg-Sebastian Billingsley-Rodriguez-Noah Matthews Matofsky-Caelan Edie-Kelsey Yates-Skyler Yates-Diana Tsoy-Felix de Sousa-John DeSantis-Garfield Wilson-Ian Tracey-Mark Acheson-Jesse James Pierce-Gemita Samarra-Cassie Van Wolde-Deborah Ramsay-Paloma Nuñez-Paul Chih-Ping Cheng-Mike Ching-Nora Mcadam,island-magic-fairy-fairy tale-peter pan-immortality-remake-pirate-based on children's book-fantasy world-live action remake,/8naZFKLQxhsYfvgveSP9Xw7Jv1B.jpg,/8HfjrSxfTVKmjNh8cJjbu5eXzcX.jpg,447365-493529-603692-1111140-640146-1098164-868759-1037644-1106942-713704-1102776-997776-1125197-10142-385687-758323-785759-948713-934433-876969-727340
315162,Puss in Boots: The Last Wish,Animation-Family-Fantasy-Adventure-Comedy,en,Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.,904.25,DreamWorks Animation-Universal Pictures,2022-12-07,90000000.0,480000000.0,103.0,Released,Say hola to his little friends.,8.284,5759.0,Antonio Banderas-Salma Hayek Pinault-Harvey Guillén-Wagner Moura-Florence Pugh-Olivia Colman-Ray Winstone-Samson Kayo-John Mulaney-Da'Vine Joy Randolph-Anthony Mendez-Kevin McCann-Bernardo de Paula-Betsy Sodaro-Artemis Pebdani-Conrad Vernon-Cody Cameron-Kailey Crawford-Al Rodrigo-Bob Persichetti-Miguel Matrai-Pilar Uribe-Heidi Gardner-Joel Crawford-Januel Mercado-James Ryan-Natalia Cronembold-Paul Fisher-Aydrea Walden,fairy tale-talking dog-spin off-aftercreditsstinger-talking cat-fear of death,/kuf6dutpsT0vSVehic3EZIqkOBt.jpg,/jr8tSoJGj33XLgFBy6lmZhpGQNu.jpg,943822-1033456-505642-1011679-1058949-100088-135195-1078862-1047431-646389-10841-197158-631842-837925-536554
267805,There Are No Saints,Action,en,A man is imprisoned for a crime he didn't commit. When his wife is murdered and his son kidnapped and taken to Mexico he devises an elaborate and dangerous plan to rescue his son and avenge the murder.,903.86,Open Window Productions-BN Films-Itaca Films-Itaca Films,2022-05-27,0.0,0.0,105.0,Released,,5.6,51.0,José María Yázpik-Shannyn Sossamon-Tommy Flanagan-Ron Perlman-Karla Souza-Tim Roth-Paz Vega-Neal McDonough-Keidrich Sellati-Gary Carlos Cervantes-Brian Glanney-Rachel Noll James-Vincent Rivera-Kristyan Ferrer-Leticia Fabian-Jeff McNeal-Del Zamora-Natália Subtil-Renzo Lewis-Gabriel Santoyo-Vincent Rivera-Álex Perea-Arnulfo Reyes Sanchez,prison-mexico-kidnapping-murder-rescue-innocent-avenge,/fcOTYArjKuAgufwHoTvx8w9UKCv.jpg,/cL0cdccOMzM508ODsWPfHVMMAzo.jpg,1391-961484-763873-668047-630392-999127-301351-1364-854467-730167-818397-725201
748783,The Garfield Movie,Animation-Comedy-Family-Adventure-Action,en,Garfield the world-famous Monday-hating lasagna-loving indoor cat is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious high-stakes heist.,813.181,Alcon Entertainment-DNEG-Wayfarer Studios-One Cool Group-Stage 6 Films-Andrews McMeel Entertainment-John Cohen Productions,2024-04-30,60000000.0,221871392.0,101.0,Released,Indoor cat. Outdoor adventure.,7.179,815.0,Chris Pratt-Samuel L. Jackson-Hannah Waddingham-Ving Rhames-Nicholas Hoult-Cecily Strong-Harvey Guillén-Brett Goldstein-Bowen Yang-Snoop Dogg-Janelle James-Angus Cloud-Jeff Foxworthy-Eugenia Caruso-Luke Cinque-White-Dev Joshi-Chana Keefer-Mark Keefer-Edward Montgomery-Mark Dindal-Cameron Bernard Jones-Darren Foreman-Timothy Quinlan-Matt Rippy-Alicia Grace Turrell-Eric Loren-Melli Bond-Lynsey Murrell-Amelia Sciandra-Jennifer Woodward-Hannah Felix,friendship-cat-villain-based on comic-lasagne-computer animation-based on cartoon-food-dog-female villain-aftercreditsstinger-father son relationship-adaptation-adoring-joyful,/xYduFGuch9OwbCOEUiamml18ZoB.jpg,/1wP1phHo2CROOqzv7Azs0MT5esU.jpg,1093995-974262-653346-639720-1197406-1207898-1082063-519182-1048241-1079485-882059-786892-739547-1209290-718821-1022789-740441-560016-758679-573435
940551,Migration,Animation-Action-Adventure-Comedy-Family,en,After a migrating duck family alights on their pond with thrilling tales of far-flung places the Mallard family embarks on a family road trip from New England to New York City to tropical Jamaica.,800.053,Illumination,2023-12-06,72000000.0,289076685.0,83.0,Released,Odd ducks welcome.,7.563,1009.0,Kumail Nanjiani-Elizabeth Banks-Caspar Jennings-Tresi Gazal-Awkwafina-Carol Kane-Keegan-Michael Key-Danny DeVito-David Mitchell-Isabela Merced-Carlos Alazraqui-Brock Baker-Gregg Berger-Steve Blum-Kimberly Brooks-Rodger Bumpass-Corey Burton-Sean Chiplock-Amber Lee Connors-Ian James Corlett-David Cowgill-Robin Atkin Downes-David Errigo Jr.-Bill Farmer-Dave Fennoy-Keith Ferguson-Erin Fitzgerald-Grant George-David Kaye-Danny Mann-Zeno Robinson-Tara Sands-Veronica Taylor-Matthew Wood,duck-migration-flight-anthropomorphism-family-animal-chef-overprotective father-illumination-bird,/ldfCF9RhR40mppkzmftxapaHeTo.jpg,/meyhnvssZOPPjud4F1CjOb4snET.jpg,609681-572802-1022796-866398-787699-930564-845111-872585-906126-520758-1072342-508883-823482-753342-1211957-955916-1072790-840430-926393-346698-976573
